word,category,arousal,imageability,valence,arm,leg,bias,bias_absol,word_logfreq,lemma_logfreq,pos_ambig,bigram_logfreq,trigram_logfreq,nletters,nphon
skrida,leg,1.68,4.52,4.32,1.25,6.58333333333333,-5.33333333333333,5.33333333333333,1.8195439355418688,2.130333768495006,0.06896551724137934,6.093864148787825,5.0867881303093,6,6
skutta,leg,2.6,5.76,5.28,1.5,6.91666666666667,-5.41666666666667,5.41666666666667,1.9294189257142926,2.2671717284030137,0.08415841584158412,6.333556993544344,5.0428515905854825,6,5
skynda,leg,3.64,5.64,3.08,1.75,5.83333333333333,-4.08333333333333,4.08333333333333,3.8029788553352617,3.791971201020768,0.20742162507997441,5.869086435290391,4.757293797312568,6,5
smyga,leg,3.08,6.08,4.04,1.25,6.83333333333333,-5.58333333333333,5.58333333333333,3.16790781000148,3.3845326154942486,0.046044864226682414,5.5135784557997285,3.9554484224995825,5,5
snava,leg,2.04,5.4,2.96,2.08333333333333,6.83333333333333,-4.75,4.75,1.4471580313422192,1.8750612633917,0.11764705882352944,6.093653001417218,4.427690624554411,5,5
snubbla,leg,2.76,6.24,2.64,1.75,6.91666666666667,-5.16666666666667,5.16666666666667,2.346352974450639,2.9395192526186187,0.055374592833876246,5.6575174878519565,4.374252690439877,7,6
sparka,leg,3.6,6.28,2.52,1.08333333333333,6.91666666666667,-5.83333333333333,5.83333333333333,3.5246557123577773,3.8567288903828825,0.08605567560696581,6.164271076257728,5.085113480371433,6,6
springa,leg,2.84,6.12,4.44,2.33333333333333,6.58333333333333,-4.25,4.25,3.7532765701844184,3.969276095488932,0.11300456968773798,6.172687209366748,5.447638296050202,7,6
stå,leg,1.84,5.56,4.24,1.75,6.5,-4.75,4.75,4.24062412018726,4.908865530014975,0.04036410553852343,5.955601514025405,5.29240450379568,3,3
stampa,leg,2.88,6.04,3.16,1.58333333333333,6.91666666666667,-5.33333333333333,5.33333333333333,2.220108088040055,2.5224442335063197,0.10962566844919786,6.079644639997437,4.870366510351719,6,6
stappla,leg,2.2,5.56,2.96,1.91666666666667,6.25,-4.33333333333333,4.33333333333333,1.8808135922807914,2.1072099696478683,0.1633986928104575,6.113597663018075,5.082647947006837,7,6
stega,leg,1.4,5.08,3.96,1.16666666666667,6.33333333333333,-5.16666666666667,5.16666666666667,1.380211241711606,1.6020599913279623,0.3220338983050848,6.238140610807243,4.951618142204544,5,5
stiga,leg,1.88,4.56,4.24,1.91666666666667,6.08333333333333,-4.16666666666667,4.16666666666667,3.205745540942662,3.6986224297020978,0.12855398569684284,6.424077933791223,5.340528562600973,5,5
stövla,leg,2.12,4.56,3.32,1.41666666666667,6.66666666666667,-5.25,5.25,1.6434526764861874,2.278753600952829,0.5103092783505154,5.795135069307814,4.375608286447947,6,6
ströva,leg,2.12,4.72,4.96,1.75,6.25,-4.5,4.5,2.0170333392987803,2.342422680822206,0.05579399141630903,6.063466853916934,4.676895320997216,6,6
strutta,leg,2,4.6,3.8,1.75,5.5,-3.75,3.75,1.5185139398778875,1.863322860120456,0.1097560975609756,6.290773434936501,5.096068047340269,7,6
svaja,leg,2.08,5.32,3.32,2.66666666666667,5.5,-2.83333333333333,2.83333333333333,1.3222192947339193,1.6720978579357175,0.17543859649122806,5.815728763835532,4.11599781633824,5,5
svassa,leg,1.84,3.72,3.36,2.5,5.41666666666667,-2.91666666666667,2.91666666666667,1.414973347970818,1.7708520116421442,0.13235294117647056,6.03639643505147,4.926124869528424,6,5
tåga,leg,2.24,4.2,4.08,1.41666666666667,6.41666666666667,-5,5,2.123851640967086,2.0211892990699383,0.453125,5.789212965659529,4.531467507871577,4,4
tassa,leg,2.76,5.2,4.36,1.75,6.66666666666667,-4.91666666666667,4.91666666666667,1.6812412373755872,2.103803720955957,0.16993464052287577,6.1992575800862415,5.0960419847308955,5,4
trampa,leg,2.08,5.72,3.48,1.08333333333333,6.91666666666667,-5.83333333333333,5.83333333333333,2.847572659142112,3.250907699700856,0.04705882352941182,6.00136972707747,4.970431021205272,6,6
traska,leg,1.72,4.96,4.32,1.5,6.91666666666667,-5.41666666666667,5.41666666666667,1.954242509439325,2.146128035678238,0.11392405063291144,6.353125306964936,5.317573472276214,6,6
trippa,leg,2.04,5.48,3.92,1.16666666666667,6.66666666666667,-5.5,5.5,1.4913616938342726,1.9867717342662448,0.1415929203539823,5.868934182351703,4.838412609644875,6,5
vackla,leg,2.32,5.12,3,2,6.5,-4.5,4.5,1.9242792860618816,2.214843848047698,0.24423963133640558,6.083245025810029,5.036963260920604,6,5
vada,leg,2.16,5.64,4,2.33333333333333,6.75,-4.41666666666667,4.41666666666667,2.2121876044039577,2.2671717284030137,0.26294820717131473,6.351533908448581,5.288297858946223,4,4
vandra,leg,2.6,6.08,5.4,1.83333333333333,7,-5.16666666666667,5.16666666666667,3.0081741840064264,3.2949069106051923,0.08449396471680592,6.422828384903248,5.514504987479625,6,6
vanka,leg,1.6,4.84,3.4,1.41666666666667,6.66666666666667,-5.25,5.25,1.3010299956639813,1.968482948553935,0.20512820512820518,6.366105590650111,5.017714294741229,5,5
vingla,leg,2.4,5.84,2.96,2.08333333333333,6.66666666666667,-4.58333333333333,4.58333333333333,1.0791812460476249,1.7993405494535817,0.17105263157894735,6.280281574738356,5.197819956398757,6,5
